model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
SVR;Sunspot Numbers;1;6877,389329156978;82,93002670418585;30,342005646791904;8,688594071611618;4,46;5,983758211135864;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;18;1273,7292728799414;35,68934396819226;22,407032901717827;9,085256086202008;4,57;2,446298599243164;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;8;7777,813939621689;88,19191538696555;37,671216853634405;9,32927068142248;4,76;8,801420450210571;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;Sunspot Numbers;7;8308,0186864702;91,1483334267292;40,02953540959868;9,945202946505049;5,04;8,26576018333435;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;TSLA Stock prices;16;1504,0660938144424;38,7822909820248;23,874084866798142;10,142079158309167;5,1;2,4443600177764893;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;5;8645,371068535005;92,9804875688174;43,20539634462831;10,331326142385429;5,19;9,240264654159546;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;Sunspot Numbers;6;10697,35033012013;103,42799587210482;38,87105195045177;11,680368159817853;5,58;11,78482723236084;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;TSLA Stock prices;13;2713,10088394144;52,08743499099797;24,564558957251904;12,00421229150006;5,86;2,363687515258789;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;11;22437,85285708272;149,79269961210633;36,46903829913208;11,942171130143988;6,49;8,42977786064148;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;20;35572,64297535257;188,607112737968;31,740373167040843;11,5666260514296;6,59;4,909700155258179;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;2;17673,957749949324;132,94343816055505;50,30591827261219;12,02645204625108;6,65;9,36240553855896;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;9;5087,478930971711;71,32656539447073;30,820600909539408;15,317140213808973;7,23;3,055964469909668;{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
